Time,Car.ax,Car.ay,Car.v,Car.Yaw,Car.YawRate
0.000000,-0.000596,-0.001869,0.000000,0.000000,0.000000
0.001000,-0.000345,-0.001770,0.000001,0.000000,0.000000
0.002000,-0.000178,-0.001708,0.000004,0.000000,0.000000
0.003000,-0.000042,-0.001285,0.000010,0.000000,0.000000
0.004000,0.000057,-0.001066,0.000018,0.000000,0.000000
0.005000,0.000119,-0.000925,0.000029,0.000000,0.000000
0.006000,0.000148,-0.000758,0.000040,0.000000,0.000000
0.007000,0.000149,-0.000570,0.000053,0.000000,0.000000
0.008000,0.000130,-0.000371,0.000066,0.000000,0.000000
0.009000,0.000099,-0.000146,0.000080,0.000000,0.000000
0.010000,0.000065,0.000051,0.000094,0.000000,-0.000000
0.011000,0.000032,0.000221,0.000109,0.000000,-0.000000
0.012000,0.000005,0.000379,0.000123,0.000000,-0.000000
0.013000,-0.000013,0.000519,0.000137,0.000000,-0.000000
0.014000,-0.000022,0.000393,0.000151,-0.000000,-0.000000
0.015000,-0.000023,0.000545,0.000165,-0.000000,-0.000000
0.016000,-0.000017,0.000698,0.000178,-0.000000,-0.000000
0.017000,-0.000008,0.000821,0.000191,-0.000000,-0.000000
0.018000,0.000003,0.000918,0.000204,-0.000000,-0.000000
0.019000,0.000013,0.000986,0.000216,-0.000000,-0.000000
0.020000,0.000020,0.001022,0.000227,-0.000000,-0.000000
0.021000,0.000025,0.001025,0.000238,-0.000000,-0.000000
0.022000,0.000026,0.000994,0.000249,-0.000000,-0.000000
0.023000,0.000024,0.000991,0.000259,-0.000000,-0.000000
0.024000,0.000020,0.001080,0.000269,-0.000000,-0.000000
0.025000,0.000015,0.000897,0.000278,-0.000000,-0.000000
0.026000,0.000009,0.000674,0.000287,-0.000000,-0.000000
0.027000,0.000003,0.000420,0.000295,-0.000000,-0.000000
0.028000,-0.000003,0.000149,0.000303,-0.000000,-0.000000
0.029000,-0.000007,-0.000176,0.000310,-0.000000,-0.000000
0.030000,-0.000011,-0.000854,0.000317,-0.000000,-0.000000
0.031000,-0.000013,-0.000983,0.000323,-0.000000,-0.000000
0.032000,-0.000013,-0.001055,0.000329,-0.000000,-0.000000
0.033000,-0.000013,-0.001073,0.000335,-0.000000,-0.000000
0.034000,-0.000012,-0.000911,0.000341,-0.000000,-0.000000
0.035000,-0.000011,-0.000762,0.000346,-0.000000,-0.000000
0.036000,-0.000011,-0.000714,0.000350,-0.000000,-0.000000
0.037000,-0.000010,-0.000645,0.000355,-0.000000,-0.000000
0.038000,0.000004,-0.000537,0.000359,-0.000000,-0.000000
0.039000,0.000003,-0.000438,0.000362,-0.000000,-0.000000
0.040000,-0.000005,-0.000375,0.000366,-0.000000,-0.000000
0.041000,-0.000004,-0.000263,0.000369,-0.000000,-0.000000
0.042000,-0.000003,-0.000151,0.000372,-0.000000,-0.000000
0.043000,-0.000002,-0.000045,0.000375,-0.000000,-0.000000
0.044000,-0.000002,0.000054,0.000378,-0.000000,-0.000000
0.045000,-0.000002,0.000128,0.000381,-0.000000,-0.000000
0.046000,-0.000003,0.000045,0.000383,-0.000000,-0.000000
0.047000,-0.000003,0.000139,0.000386,-0.000000,-0.000000
0.048000,-0.000003,0.000224,0.000388,-0.000000,-0.000000
0.049000,-0.000003,0.000298,0.000390,-0.000000,-0.000000
0.050000,-0.000003,0.000358,0.000392,-0.000000,-0.000000
0.051000,-0.000003,0.000401,0.000394,-0.000000,-0.000000
0.052000,-0.000003,0.000426,0.000395,-0.000000,-0.000000
0.053000,-0.000003,0.000431,0.000397,-0.000000,-0.000000
0.054000,-0.000004,0.000416,0.000398,-0.000000,-0.000000
0.055000,-0.000004,0.000381,0.000399,-0.000000,-0.000000
0.056000,-0.000004,0.000361,0.000400,-0.000000,-0.000000
0.057000,-0.000003,0.000391,0.000401,-0.000000,-0.000000
0.058000,-0.000004,0.000268,0.000402,-0.000000,-0.000000
0.059000,-0.000004,0.000126,0.000403,-0.000000,-0.000000
0.060000,-0.000004,-0.000028,0.000403,-0.000000,-0.000000
0.061000,-0.000004,-0.000188,0.000404,-0.000000,-0.000000
0.062000,-0.000005,-0.000610,0.000404,-0.000000,-0.000000
0.063000,-0.000005,-0.000704,0.000405,-0.000000,-0.000000
